status;raw_title;search_title;author_hint;best_title;best_subtitle;best_authors;best_publisher;best_isbn;best_year;best_page_count;source_name;source_url;confidence;source_query
sem-match-forte;"A EVANGELIZAÇÃO MUDANDO VIDAS";"A EVANGELIZAÇÃO MUDANDO VIDAS";;"A Evangelização de portas abertas para o autismo";;"Lucia Moysés";"Editora EME";9786555431384;2024;194;"Google Books";https://play.google.com/store/books/details?id=5xknEQAAQBAJ&source=gbs_api;0.5443;"A EVANGELIZAÇÃO MUDANDO VIDAS"
sem-match-forte;"A GÊNESE - BESOUROLUX";"A GÊNESE - BESOUROLUX";;"Estudando A Gênese";;"Luiz Carlos Marasco";"Clube de Autores";9786500490213;2022;81;"Google Books";https://play.google.com/store/books/details?id=6JugEAAAQBAJ&source=gbs_api;0.5214;"A GÊNESE - BESOUROLUX"
sem-match-forte;"A GÊNESE - EME PROMOCIONAL";"A GÊNESE - EME PROMOCIONAL";;"Amazon Publishing Income Genesis";;"Dr. Ope Banwo, Eric O. Philip ";"Dr Ope Banwo";;;204;"Google Books";https://play.google.com/store/books/details?id=ALbtEAAAQBAJ&source=gbs_api;0.1771;"A GÊNESE - EME PROMOCIONAL"
sem-match-forte;"A GÊNESE - LETRAS GIGANTES";"A GÊNESE - LETRAS GIGANTES";;"A gênese de Incidente em Antares";;"Márcia Ivana de Lima e Silva";EDIPUCRS;9788574301709;2000;184;"Google Books";http://books.google.com.br/books?id=8_Q-ymITDxQC&dq=A+G%C3%8ANESE+-+LETRAS+GIGANTES&hl=&as_pt=BOOKS&source=gbs_api;0.5664;"A GÊNESE - LETRAS GIGANTES"
sem-match-forte;"A INSTRUSA - VERA LÃšCIA MARINZECK DE CARVALHO";"A INSTRUSA - VERA LÃšCIA MARINZECK DE CARVALHO";;"A intrusa";;"Vera Lúcia Marinzeck de Carvalho, Antônio Carlos";;9788578131524;2014;0;"Google Books";http://books.google.com.br/books?id=zCD8zwEACAAJ&dq=A+INSTRUSA+-+VERA+L%C3%83%C5%A1CIA+MARINZECK+DE+CARVALHO&hl=&as_pt=BOOKS&source=gbs_api;0.2649;"A INSTRUSA - VERA LÃšCIA MARINZECK DE CARVALHO"
revisar;"A IRMÃ DO VIZIR";"A IRMÃ DO VIZIR";;"A irmã do vizir";"Histórias que os espíritos contaram";"Hermínio C. Miranda";"Correio Fraterno";9786586480153;2021;153;"Google Books";https://play.google.com/store/books/details?id=v7YTEAAAQBAJ&source=gbs_api;0.7418;"intitle:""A IRMÃ DO VIZIR"""
sem-match-forte;"A NOVIÇA E O FARAO";"A NOVIÇA E O FARAO";;"A vida e as opiniões do cavalheiro Tristram Shandy (Nova edição)";;"Laurence Sterne";Penguin-Companhia;9786557823545;2022;763;"Google Books";https://play.google.com/store/books/details?id=PHZvEAAAQBAJ&source=gbs_api;0.2915;"A NOVIÇA E O FARAO"
sem-match-forte;"A OBSESSÃO E O MOVIMENTO ESPÍRITA";"A OBSESSÃO E O MOVIMENTO ESPÍRITA";;"Sousa Martins: ciência e espiritualismo";;"Sara Repolho";"Imprensa da Universidade de Coimbra / Coimbra University Press";9789898074461;2008;130;"Google Books";https://play.google.com/store/books/details?id=1-0vKXGR4NoC&source=gbs_api;0.3428;"A OBSESSÃO E O MOVIMENTO ESPÍRITA"
sem-match-forte;"A ORDEM DIDÁTICA DE O LIVRO DOS ESPIRITOS";"A ORDEM DIDÁTICA DE O LIVRO DOS ESPIRITOS";;"O Livro dos Espíritos";;"Allan Kardec";"EDITORA BIBLIOMUNDI SERVIÇOS DIGITAIS LTDA";9788572975735;2022;403;"Google Books";https://play.google.com/store/books/details?id=pNH5DwAAQBAJ&source=gbs_api;0.6100;"A ORDEM DIDÁTICA DE O LIVRO DOS ESPIRITOS"
revisar;"A PRATICA DO AMOR";"A PRATICA DO AMOR";;"Teoria e prática do amor à criança";;"Orlando V. Orlandi";;;1985;;"Open Library";https://openlibrary.org/works/OL5303477W;0.7933;"A PRATICA DO AMOR"
sem-match-forte;"A Reencarnação na Bíblia e na Ciência";"A Reencarnação na Bíblia e na Ciência";;"Fenômenos supranormais";"E outras misteriosas manifestações paranormais";"Carlos Falcão de Matos";"A Luz do Ser";9786500230413;2021;289;"Google Books";https://play.google.com/store/books/details?id=tcI1EAAAQBAJ&source=gbs_api;0.2154;"A Reencarnação na Bíblia e na Ciência"
revisar-campos-obrigatorios;"ABAIXO A DEPRESSÃO";"ABAIXO A DEPRESSÃO";;"Abaixo a Depressão";;;;;2004;;"Open Library";https://openlibrary.org/works/OL13422883M;1.0000;"ABAIXO A DEPRESSÃO"
sem-match-forte;"ACOLHIMENTO FRATERNO NA CASA ESPÍRITA";"ACOLHIMENTO FRATERNO NA CASA ESPÍRITA";;"Qualidade Total Na Casa Espírita";;"Ricardo Rêgo Barros";"Clube de Autores";;2021;274;"Google Books";http://books.google.com.br/books?id=RnU3EAAAQBAJ&dq=ACOLHIMENTO+FRATERNO+NA+CASA+ESP%C3%8DRITA&hl=&as_pt=BOOKS&source=gbs_api;0.6593;"ACOLHIMENTO FRATERNO NA CASA ESPÍRITA"
sem-match-forte;"ACONCHEGO MENSAGENS DE ESPIRITUALIDADE";"ACONCHEGO MENSAGENS DE ESPIRITUALIDADE";;"Mensagens Espirituais dos Orixás: Obaluayê";;"Jaqueline Costa Santos";"Jaqueline Costa Santos";9798342035002;2024;84;"Google Books";https://play.google.com/store/books/details?id=gUlyEQAAQBAJ&source=gbs_api;0.4403;"ACONCHEGO MENSAGENS DE ESPIRITUALIDADE"
sem-match-forte;"ACONTECEU NA CASA ESPÍRITA";"ACONTECEU NA CASA ESPÍRITA";;"Qualidade Total Na Casa Espírita";;"Ricardo Rêgo Barros";"Clube de Autores";;2021;274;"Google Books";http://books.google.com.br/books?id=RnU3EAAAQBAJ&dq=ACONTECEU+NA+CASA+ESP%C3%8DRITA&hl=&as_pt=BOOKS&source=gbs_api;0.7126;"ACONTECEU NA CASA ESPÍRITA"
sem-match-forte;"Adiantamento camisa";"Adiantamento camisa";;"Advances in Cognitive Sociolinguistics";;"Dirk Geeraerts, Gitte Kristiansen, Yves Peirsman";"Walter de Gruyter";9783110226454;2010;333;"Google Books";http://books.google.com.br/books?id=VlgwUafHFaIC&dq=Adiantamento+camisa&hl=&as_pt=BOOKS&source=gbs_api;0.2175;"Adiantamento camisa"
sem-match-forte;"AGENDA (LUXO)";"AGENDA (LUXO)";;"A Experiência Do Cliente No Mercado Imobiliário De Luxo";;"Lucas Chacur, Dsc & Murillo Dias, Dsc";"Clube de Autores";9786526670231;2026;80;"Google Books";https://play.google.com/store/books/details?id=1O3FEQAAQBAJ&source=gbs_api;0.3779;"AGENDA (LUXO)"
sem-match-forte;"AGENDA CHICO XAVIER";"AGENDA CHICO XAVIER";;"Agenda Cristã";;"Chico Xavier";;;2015;;"Open Library";https://openlibrary.org/works/OL24146319W;0.5142;"AGENDA CHICO XAVIER"
sem-match-forte;"AGENDA TODO DIA (BOLSO)";"AGENDA TODO DIA";;"Agenda Para Todos Los Dias";;;;;1989;;"Open Library";https://openlibrary.org/works/OL13263697M;0.5803;"AGENDA TODO DIA"
sem-match-forte;"AGENDA TODO DIA CAPA DURA";"AGENDA TODO DIA CAPA DURA";;"Diário - O último ano sabático de Henri J. M. Nouwen";;"Henri J. M. Nouwen";"Edicoes Loyola";9788515024995;2003;300;"Google Books";http://books.google.com.br/books?id=-39A7ePBix8C&dq=AGENDA+TODO+DIA+CAPA+DURA&hl=&as_pt=BOOKS&source=gbs_api;0.1868;"AGENDA TODO DIA CAPA DURA"
revisar;"ALÉM DAS DIFERENÇAS";"ALÉM DAS DIFERENÇAS";;"As Leis da Fé";"Um mundo além das diferenças";"Ryuho Okawa";"IRH Press do Brasil";9786587485133;2021;207;"Google Books";https://play.google.com/store/books/details?id=Wa4xEAAAQBAJ&source=gbs_api;0.7662;"intitle:""ALÉM DAS DIFERENÇAS"""
sem-match-forte;"ALMAS AFINS VOL.3";"ALMAS AFINS VOL.3";;"Leis - Vol. III";;Platão;"Edições 70";9789724422558;2019;302;"Google Books";https://play.google.com/store/books/details?id=5GmfDwAAQBAJ&source=gbs_api;0.4371;"ALMAS AFINS VOL.3"
revisar;"ALQUIMIA DA MENTE";"ALQUIMIA DA MENTE";;"Dinâmica da mente";;"Lauro Larrea de Queiroz";;;1979;;"Open Library";https://openlibrary.org/works/OL5485280W;0.7275;"ALQUIMIA DA MENTE"
sem-match-forte;"ALVORADA NOVA";"ALVORADA NOVA";;Alvorada;"nova cultivar de cenoura para plantio de verao";"J.V. Vieira";;;2000;;"Google Books";http://books.google.com.br/books?id=HntAygAACAAJ&dq=intitle:%22ALVORADA+NOVA%22&hl=&as_pt=BOOKS&source=gbs_api;0.6971;"intitle:""ALVORADA NOVA"""
sem-match-forte;"AMAI-VOS E INSTRUÍ-VOS";"AMAI-VOS E INSTRUÍ-VOS";;"O Brasilianista Natural E O Petismo Era Lula - Volume I";;"Lewton Burity Verri";"Clube de Autores";;2015;537;"Google Books";http://books.google.com.br/books?id=_wJyDwAAQBAJ&dq=AMAI-VOS+E+INSTRU%C3%8D-VOS&hl=&as_pt=BOOKS&source=gbs_api;0.2438;"AMAI-VOS E INSTRUÍ-VOS"
revisar;"Analisando as Traduções Bíblicas - 13ª Ed. 2009";"Analisando as Traduções Bíblicas - 13ª Ed. 2009";;"Analisando as Traduções Bíblicas";;"Severino Celestino Da Silva";;9788575393598;2020;352;"Google Books";http://books.google.com.br/books?id=V20eQAAACAAJ&dq=Analisando+as+Tradu%C3%A7%C3%B5es+B%C3%ADblicas+-+13%C2%AA+Ed.+2009&hl=&as_pt=BOOKS&source=gbs_api;0.8192;"Analisando as Traduções Bíblicas - 13ª Ed. 2009"
